username,repo name,stars,repo URL
public-apis,public-apis,197000,https://github.com/public-apis/public-apis
neovim,neovim,54900,https://github.com/neovim/neovim
tiangolo,fastapi,46600,https://github.com/tiangolo/fastapi
strapi,strapi,45900,https://github.com/strapi/strapi
hoppscotch,hoppscotch,44500,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34200,https://github.com/slatedocs/slate
meilisearch,meilisearch,27600,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,27300,https://github.com/hasura/graphql-engine
ccxt,ccxt,24900,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,24600,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24400,https://github.com/YMFE/yapi
encode,django-rest-framework,23600,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22200,https://github.com/littlecodersh/ItChat
httpie,httpie,22200,https://github.com/httpie/httpie
Kong,insomnia,21400,https://github.com/Kong/insomnia
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20200,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19400,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17600,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17300,https://github.com/shieldfy/API-Security-Checklist
directus,directus,16500,https://github.com/directus/directus
ChainSafe,web3.js,15400,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,14100,https://github.com/learn-anything/learn-anything
youfou,wxpy,13300,https://github.com/youfou/wxpy
jsdoc,jsdoc,13000,https://github.com/jsdoc/jsdoc
OpenAPITools,openapi-generator,12700,https://github.com/OpenAPITools/openapi-generator
BrainJS,brain.js,12600,https://github.com/BrainJS/brain.js
fangzesheng,free-api,12300,https://github.com/fangzesheng/free-api
go-chi,chi,11700,https://github.com/go-chi/chi
graphile,postgraphile,11400,https://github.com/graphile/postgraphile
