username,repo name,stars,repo URL
jwasham,coding-interview-university,222000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,153000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,144000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,139000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,72500,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,57500,https://github.com/kdn251/interviews
azl397985856,leetcode,48500,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,46600,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,37200,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,28700,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26700,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,25600,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25700,https://github.com/halfrost/LeetCode-Go
huihut,interview,24700,https://github.com/huihut/interview
keon,algorithms,21200,https://github.com/keon/algorithms
TheAlgorithms,JavaScript,20300,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19800,https://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19400,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,19000,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15600,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13500,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,12900,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,11200,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9800,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7500,https://github.com/jeffgerickson/algorithms
gyoogle,tech-interview-for-developer,7400,https://github.com/gyoogle/tech-interview-for-developer
LeetCode-OpenSource,vscode-leetcode,7400,https://github.com/LeetCode-OpenSource/vscode-leetcode
