username,repo name,stars,repo URL
justjavac,free-programming-books-zh_CN,93800,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,82300,https://github.com/angular/angular
storybookjs,storybook,72100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,49700,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47600,https://github.com/ionic-team/ionic-framework
prettier,prettier,43200,https://github.com/prettier/prettier
SheetJS,sheetjs,30500,https://github.com/SheetJS/sheetjs
angular,angular-cli,25500,https://github.com/angular/angular-cli
angular,components,22800,https://github.com/angular/components
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19700,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,18000,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17600,https://github.com/pubkey/rxdb
handsontable,handsontable,16800,https://github.com/handsontable/handsontable
teambit,bit,15400,https://github.com/teambit/bit
sweetalert2,sweetalert2,14700,https://github.com/sweetalert2/sweetalert2
nrwl,nx,13200,https://github.com/nrwl/nx
linnovate,mean,12200,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11600,https://github.com/codesandbox/codesandbox-client
Chocobozzz,PeerTube,10800,https://github.com/Chocobozzz/PeerTube
sudheerj,javascript-interview-questions,10700,https://github.com/sudheerj/javascript-interview-questions
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
jasontaylordev,CleanArchitecture,8900,https://github.com/jasontaylordev/CleanArchitecture
dotansimha,graphql-code-generator,8900,https://github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,8800,https://github.com/ag-grid/ag-grid
angular,protractor,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8400,https://github.com/PatrickJS/awesome-angular
abpframework,abp,8200,https://github.com/abpframework/abp
NG-ZORRO,ng-zorro-antd,8200,https://github.com/NG-ZORRO/ng-zorro-antd
