username,repo name,stars,repo URL
jlevy,the-art-of-command-line,107000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,58800,https://github.com/nvm-sh/nvm
junegunn,fzf,45200,https://github.com/junegunn/fzf
google,zx,32500,https://github.com/google/zx
dylanaraps,pure-bash-bible,31300,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29100,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29100,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27900,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,27100,https://github.com/acmesh-official/acme.sh
starship,starship,27000,https://github.com/starship/starship
alebcay,awesome-shell,23800,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,18900,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,18400,https://github.com/withfig/autocomplete
dylanaraps,neofetch,15400,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15300,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14200,https://github.com/rbenv/rbenv
powerline,powerline,13300,https://github.com/powerline/powerline
shelljs,shelljs,13300,https://github.com/shelljs/shelljs
Bash-it,bash-it,13000,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12700,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12600,https://github.com/jessfraz/dockerfiles
denisidoro,navi,11200,https://github.com/denisidoro/navi
codota,TabNine,9200,https://github.com/codota/TabNine
direnv,direnv,9200,https://github.com/direnv/direnv
carlospolop,PEASS-ng,9100,https://github.com/carlospolop/PEASS-ng
skywind3000,awesome-cheatsheets,8900,https://github.com/skywind3000/awesome-cheatsheets
rgcr,m-cli,8900,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8800,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8700,https://github.com/kanaka/mal
extrawurst,gitui,8300,https://github.com/extrawurst/gitui
