username,repo name,stars,repo URL
bitcoin,bitcoin,65000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,24900,https://github.com/ccxt/ccxt
freqtrade,freqtrade,18100,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17500,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,9100,https://github.com/bbfamily/abu
solana-labs,solana,9000,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,7000,https://github.com/dvf/blockchain
yeasy,blockchain_guide,6100,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,6100,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5800,https://github.com/spesmilo/electrum
butor,blackbird,5600,https://github.com/butor/blackbird
btcsuite,btcd,4800,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4600,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4300,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,4000,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,4000,https://github.com/CryptoSignal/Crypto-Signal
jesse-ai,jesse,4000,https://github.com/jesse-ai/jesse
coinpride,CryptoList,3800,https://github.com/coinpride/CryptoList
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
RomelTorres,alpha_vantage,3700,https://github.com/RomelTorres/alpha_vantage
btcpayserver,btcpayserver,3600,https://github.com/btcpayserver/btcpayserver
Zheaoli,awesome-coins,3600,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3500,https://github.com/bitpay/wallet
Jeiwan,blockchain_go,3400,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
cointop-sh,cointop,3300,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2900,https://github.com/bitcoin-wallet/bitcoin-wallet
ctubio,Krypto-trading-bot,2800,https://github.com/ctubio/Krypto-trading-bot
