username,repo name,stars,repo URL
CyC2018,CS-Notes,153000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,69300,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48500,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38700,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,38200,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,28700,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,25100,https://github.com/microsoft/calculator
huihut,interview,24700,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,20600,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,19800,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,17800,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,17200,https://github.com/ethereum/solidity
microsoft,vcpkg,16000,https://github.com/microsoft/vcpkg
catchorg,Catch2,15200,https://github.com/catchorg/Catch2
gabime,spdlog,14900,https://github.com/gabime/spdlog
doocs,leetcode,14500,https://github.com/doocs/leetcode
AnthonyCalandra,modern-cpp-features,14200,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,13900,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13800,https://github.com/Qv2ray/Qv2ray
facebook,infer,13400,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12700,https://github.com/CoatiSoftware/Sourcetrail
google,tink,12400,https://github.com/google/tink
antlr,antlr4,12400,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,11600,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,11100,https://github.com/SFTtech/openage
compiler-explorer,compiler-explorer,10900,https://github.com/compiler-explorer/compiler-explorer
polybar,polybar,10800,https://github.com/polybar/polybar
OpenRCT2,OpenRCT2,10600,https://github.com/OpenRCT2/OpenRCT2
microsoft,IoT-For-Beginners,10300,https://github.com/microsoft/IoT-For-Beginners
