username,repo name,stars,repo URL
Genymobile,scrcpy,66800,https://github.com/Genymobile/scrcpy
neovim,neovim,54900,https://github.com/neovim/neovim
git,git,42600,https://github.com/git/git
obsproject,obs-studio,39200,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,38200,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,30700,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30200,https://github.com/FFmpeg/FFmpeg
vim,vim,27400,https://github.com/vim/vim
curl,curl,25500,https://github.com/curl/curl
huihut,interview,24700,https://github.com/huihut/interview
ggreer,the_silver_searcher,23800,https://github.com/ggreer/the_silver_searcher
ruby,ruby,19300,https://github.com/ruby/ruby
mpv-player,mpv,19100,https://github.com/mpv-player/mpv
pbatard,rufus,18600,https://github.com/pbatard/rufus
ossrs,srs,18400,https://github.com/ossrs/srs
google,flatbuffers,18100,https://github.com/google/flatbuffers
oracle,graal,17200,https://github.com/oracle/graal
radareorg,radare2,16400,https://github.com/radareorg/radare2
microsoft,vcpkg,16000,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,15000,https://github.com/kovidgoyal/kitty
shadowsocks,shadowsocks-libev,14900,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14800,https://github.com/allinurl/goaccess
hashcat,hashcat,14800,https://github.com/hashcat/hashcat
jarun,nnn,14300,https://github.com/jarun/nnn
TheAlgorithms,C,13800,https://github.com/TheAlgorithms/C
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13400,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12700,https://github.com/CoatiSoftware/Sourcetrail
qmk,qmk_firmware,12600,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11500,https://github.com/s-matyukevich/raspberry-pi-os
