username,repo name,stars,repo URL
iamadamdev,bypass-paywalls-chrome,27100,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19000,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18100,https://github.com/refined-github/refined-github
darkreader,darkreader,14300,https://github.com/darkreader/darkreader
checkly,headless-recorder,14300,https://github.com/checkly/headless-recorder
unbug,codelf,13000,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9600,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9300,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8700,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8600,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7800,https://github.com/appbaseio/dejavu
dailydotdev,daily,7500,https://github.com/dailydotdev/daily
alyssaxuu,screenity,7300,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5000,https://github.com/ajayyy/SponsorBlock
dessant,buster,4900,https://github.com/dessant/buster
alyssaxuu,omni,4900,https://github.com/alyssaxuu/omni
manojVivek,medium-unlimited,4900,https://github.com/manojVivek/medium-unlimited
AutomaApp,automa,4800,https://github.com/AutomaApp/automa
webclipper,web-clipper,4300,https://github.com/webclipper/web-clipper
altair-graphql,altair,4300,https://github.com/altair-graphql/altair
zxlie,FeHelper,4100,https://github.com/zxlie/FeHelper
openstyles,stylus,4000,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
hcfyapp,crx-selection-translate,3700,https://github.com/hcfyapp/crx-selection-translate
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js
honestbleeps,Reddit-Enhancement-Suite,3500,https://github.com/honestbleeps/Reddit-Enhancement-Suite
PlasmoHQ,plasmo,3500,https://github.com/PlasmoHQ/plasmo
vinta,pangu.js,3500,https://github.com/vinta/pangu.js
