username,repo name,stars,repo URL
electron,electron,102000,https://github.com/electron/electron
puppeteer,puppeteer,78700,https://github.com/puppeteer/puppeteer
microsoft,playwright,39600,https://github.com/microsoft/playwright
FiloSottile,mkcert,35700,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,27100,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22100,https://github.com/ovity/octotree
segmentio,nightmare,19200,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,19000,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,14300,https://github.com/checkly/headless-recorder
google,WebFundamentals,13300,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
casesandberg,react-color,10800,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10200,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9300,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8700,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8300,https://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7800,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6700,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6200,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,6000,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,5000,https://github.com/MontFerret/ferret
ajayyy,SponsorBlock,5000,https://github.com/ajayyy/SponsorBlock
alyssaxuu,omni,4900,https://github.com/alyssaxuu/omni
moonD4rk,HackBrowserData,4800,https://github.com/moonD4rk/HackBrowserData
themerdev,themer,4800,https://github.com/themerdev/themer
browserless,chrome,4600,https://github.com/browserless/chrome
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
burtonator,polar-bookshelf,4500,https://github.com/burtonator/polar-bookshelf
