username,repo name,stars,repo URL
ohmyzsh,ohmyzsh,147000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,45200,https://github.com/junegunn/fzf
sharkdp,bat,35300,https://github.com/sharkdp/bat
sherlock-project,sherlock,32600,https://github.com/sherlock-project/sherlock
google,zx,32500,https://github.com/google/zx
wagoodman,dive,32400,https://github.com/wagoodman/dive
BurntSushi,ripgrep,31700,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29500,https://github.com/chubin/cheat.sh
cli,cli,29000,https://github.com/cli/cli
jesseduffield,lazygit,28100,https://github.com/jesseduffield/lazygit
spf13,cobra,27200,https://github.com/spf13/cobra
angular,angular-cli,25500,https://github.com/angular/angular-cli
alebcay,awesome-shell,23800,https://github.com/alebcay/awesome-shell
sharkdp,fd,23500,https://github.com/sharkdp/fd
n8n-io,n8n,23100,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,23000,https://github.com/ibraheemdev/modern-unix
google,python-fire,22600,https://github.com/google/python-fire
tqdm,tqdm,22300,https://github.com/tqdm/tqdm
httpie,httpie,22200,https://github.com/httpie/httpie
vercel,pkg,21400,https://github.com/vercel/pkg
avajs,ava,19900,https://github.com/avajs/ava
chalk,chalk,18700,https://github.com/chalk/chalk
vadimdemedes,ink,18600,https://github.com/vadimdemedes/ink
urfave,cli,18600,https://github.com/urfave/cli
withfig,autocomplete,18400,https://github.com/withfig/autocomplete
svg,svgo,17900,https://github.com/svg/svgo
gpakosz,.tmux,16800,https://github.com/gpakosz/.tmux
allinurl,goaccess,14800,https://github.com/allinurl/goaccess
asdf-vm,asdf,14800,https://github.com/asdf-vm/asdf
antonmedv,fx,14800,https://github.com/antonmedv/fx
